N,time,
10,400,
20,400,
30,400,
40,500,
50,400,
60,600,
70,400,
80,400,
90,400,
100,300,
110,300,
120,400,
130,500,
140,400,
150,400,
160,300,
170,500,
180,300,
190,401,
200,400,
210,400,
220,300,
230,300,
240,400,
250,300,
260,400,
270,300,
280,600,
290,300,
300,401,
310,399,
320,400,
330,400,
340,400,
350,600,
360,400,
370,400,
380,500,
390,400,
400,300,
410,400,
420,400,
430,400,
440,400,
450,501,
460,399,
470,400,
480,299,
490,400,
500,300,
510,400,
520,402,
530,402,
540,400,
550,400,
560,400,
570,500,
580,300,
590,402,
600,498,
610,400,
620,300,
630,400,
640,300,
650,400,
660,301,
670,400,
680,602,
690,498,
700,402,
710,400,
720,400,
730,300,
740,600,
750,500,
760,500,
770,500,
780,600,
790,600,
800,600,
810,500,
820,400,
830,600,
840,500,
850,500,
860,600,
870,400,
880,500,
890,400,
900,400,
910,300,
920,300,
930,400,
940,400,
950,400,
960,400,
970,400,
980,300,
990,300,
1000,400,
1010,400,
1020,300,
1030,300,
1040,300,
1050,500,
1060,400,
1070,400,
1080,400,
1090,500,
1100,400,
1110,400,
1120,500,
1130,400,
1140,300,
1150,400,
1160,400,
1170,400,
1180,400,
1190,402,
1200,598,
1210,400,
1220,500,
1230,400,
1240,300,
1250,402,
1260,398,
1270,402,
1280,398,
1290,402,
1300,400,
1310,400,
1320,400,
1330,300,
1340,400,
1350,400,
1360,300,
1370,400,
1380,500,
1390,400,
1400,400,
1410,300,
1420,400,
1430,300,
1440,300,
1450,400,
1460,400,
1470,400,
1480,400,
1490,500,
1500,400,
1510,300,
1520,400,
1530,500,
1540,400,
1550,400,
1560,400,
1570,400,
1580,400,
1590,400,
1600,300,
1610,500,
1620,400,
1630,400,
1640,400,
1650,400,
1660,400,
1670,500,
1680,500,
1690,400,
1700,400,
1710,400,
1720,502,
1730,400,
1740,400,
1750,400,
1760,400,
1770,400,
1780,400,
1790,500,
1800,400,
1810,300,
1820,400,
1830,600,
1840,400,
1850,500,
1860,600,
1870,400,
1880,500,
1890,600,
1900,500,
1910,400,
1920,600,
1930,500,
1940,500,
1950,400,
1960,400,
1970,400,
1980,500,
1990,400,
2000,400,
2010,400,
2020,401,
2030,300,
2040,300,
2050,400,
2060,400,
2070,400,
2080,400,
2090,400,
2100,400,
2110,300,
2120,300,
2130,300,
2140,400,
2150,300,
2160,400,
2170,400,
2180,400,
2190,400,
2200,400,
2210,400,
2220,400,
2230,400,
2240,400,
2250,500,
2260,402,
2270,300,
2280,402,
2290,498,
2300,402,
2310,400,
2320,400,
2330,500,
2340,400,
2350,302,
2360,500,
2370,401,
2380,398,
2390,302,
2400,400,
2410,400,
2420,400,
2430,300,
2440,400,
2450,300,
2460,401,
2470,498,
2480,402,
2490,398,
2500,400,
2510,399,
2520,300,
2530,300,
2540,400,
2550,500,
2560,400,
2570,400,
2580,400,
2590,400,
2600,400,
2610,400,
2620,500,
2630,400,
2640,400,
2650,400,
2660,400,
2670,400,
2680,400,
2690,400,
2700,400,
2710,300,
2720,300,
2730,400,
2740,400,
2750,300,
2760,300,
2770,300,
2780,400,
2790,300,
2800,400,
2810,400,
2820,400,
2830,302,
2840,302,
2850,402,
2860,400,
2870,400,
2880,300,
2890,400,
2900,402,
2910,400,
2920,498,
2930,500,
2940,600,
2950,400,
2960,600,
2970,600,
2980,500,
2990,600,
3000,400,
3010,500,
3020,700,
3030,700,
3040,600,
3050,400,
3060,400,
3070,300,
3080,400,
3090,400,
3100,400,
3110,400,
3120,500,
3130,400,
3140,400,
3150,400,
3160,500,
3170,400,
3180,400,
3190,300,
3200,400,
3210,400,
3220,400,
3230,400,
3240,400,
3250,400,
3260,300,
3270,500,
3280,402,
3290,400,
3300,399,
3310,400,
3320,400,
3330,400,
3340,400,
3350,400,
3360,401,
3370,500,
3380,400,
3390,400,
3400,400,
3410,402,
3420,300,
3430,400,
3440,500,
3450,400,
3460,500,
3470,400,
3480,400,
3490,402,
3500,300,
3510,300,
3520,398,
3530,500,
3540,398,
3550,402,
3560,499,
3570,400,
3580,300,
3590,400,
3600,400,
3610,400,
3620,400,
3630,500,
3640,400,
3650,300,
3660,400,
3670,400,
3680,400,
3690,300,
3700,600,
