N,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,100
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,100
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,100
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,100
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,200
890,100
900,0
910,0
920,100
930,100
940,100
950,0
960,101
970,0
980,101
990,0
1000,101
1010,0
1020,0
1030,0
1040,0
1050,100
1060,0
1070,100
1080,0
1090,0
1100,0
1110,0
1120,0
1130,0
1140,100
1150,100
1160,0
1170,0
1180,0
1190,0
1200,0
1210,0
1220,0
1230,0
1240,0
1250,0
1260,100
1270,0
1280,100
1290,0
1300,0
1310,0
1320,0
1330,0
1340,0
1350,0
1360,200
1370,0
1380,0
1390,100
1400,0
1410,0
1420,100
1430,0
1440,100
1450,0
1460,0
1470,0
1480,0
1490,0
1500,0
1510,0
1520,0
1530,0
1540,0
1550,100
1560,101
1570,0
1580,0
1590,0
1600,0
1610,0
1620,100
1630,0
1640,0
1650,100
1660,0
1670,0
1680,0
1690,0
1700,0
1710,0
1720,200
1730,100
1740,100
1750,0
1760,100
1770,0
1780,0
1790,0
1800,0
1810,100
1820,0
1830,0
1840,200
1850,100
1860,0
1870,0
1880,0
1890,100
1900,200
1910,0
1920,100
1930,100
1940,100
1950,0
1960,100
1970,0
1980,100
1990,100
2000,100
2010,0
2020,100
2030,0
2040,100
2050,0
2060,100
2070,100
2080,0
2090,100
2100,0
2110,100
2120,100
2130,0
2140,200
2150,0
2160,0
2170,400
2180,100
2190,100
2200,0
2210,100
2220,0
2230,0
2240,100
2250,0
2260,200
2270,100
2280,101
2290,0
2300,0
2310,0
2320,200
2330,0
2340,200
2350,100
2360,100
2370,0
2380,0
2390,0
2400,100
2410,0
2420,0
2430,100
2440,100
2450,0
2460,100
2470,100
2480,0
2490,200
2500,100
2510,99
2520,100
2530,100
2540,100
2550,0
2560,203
2570,0
2580,200
2590,100
2600,0
2610,100
2620,0
2630,200
2640,101
2650,200
2660,0
2670,0
2680,0
2690,100
2700,100
2710,100
2720,0
2730,0
2740,100
2750,200
2760,0
2770,98
2780,0
2790,101
2800,0
2810,0
2820,200
2830,101
2840,0
2850,0
2860,100
2870,0
2880,0
2890,100
2900,0
2910,100
2920,100
2930,0
2940,100
2950,100
2960,0
2970,100
2980,200
2990,200
3000,100
3010,0
3020,200
3030,100
3040,200
3050,0
3060,201
3070,101
3080,0
3090,0
3100,0
3110,0
3120,0
3130,0
3140,0
3150,101
3160,101
3170,0
