N,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,100
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,100
330,0
340,0
350,0
360,101
370,0
380,0
390,0
400,0
410,100
420,0
430,0
440,0
450,0
460,0
470,200
480,0
490,0
500,0
510,100
520,0
530,102
540,0
550,100
560,0
570,0
580,0
590,100
600,200
610,0
620,0
630,100
640,0
650,0
660,0
670,200
680,100
690,0
700,0
710,0
720,0
730,100
740,0
750,100
760,0
770,0
780,0
790,0
800,0
810,0
820,100
830,0
840,99
850,101
860,100
870,100
880,0
890,0
900,100
910,200
920,100
930,0
940,0
950,100
960,100
970,0
980,0
990,0
1000,200
1010,0
1020,0
1030,100
1040,0
1050,0
1060,101
1070,0
1080,0
1090,100
1100,0
1110,0
1120,100
1130,100
1140,100
1150,0
1160,0
1170,0
1180,100
1190,0
1200,100
1210,100
1220,100
1230,300
1240,0
1250,199
1260,100
1270,99
1280,100
1290,0
1300,0
1310,0
1320,0
1330,200
1340,400
1350,0
1360,0
1370,200
1380,0
1390,0
1400,100
1410,100
1420,0
1430,100
1440,100
1450,100
1460,101
1470,100
1480,0
1490,100
1500,0
1510,200
1520,302
1530,100
1540,201
1550,100
1560,101
1570,200
1580,101
1590,98
1600,100
1610,100
1620,100
1630,100
1640,0
1650,0
1660,100
1670,100
1680,100
1690,100
1700,100
1710,100
1720,100
1730,100
1740,100
1750,100
1760,100
1770,102
1780,100
1790,200
1800,200
1810,0
1820,100
1830,100
1840,100
1850,100
1860,100
1870,201
1880,101
1890,100
1900,100
1910,200
1920,100
1930,0
1940,200
1950,200
1960,200
1970,100
1980,100
1990,99
2000,200
2010,300
2020,300
2030,0
2040,0
2050,0
2060,0
2070,0
2080,300
2090,100
2100,100
2110,0
2120,0
2130,300
2140,0
2150,0
2160,200
2170,400
2180,500
2190,500
2200,298
2210,500
2220,300
2230,300
2240,400
2250,500
2260,100
2270,0
2280,100
2290,400
2300,0
2310,100
2320,200
2330,200
2340,0
2350,300
2360,200
2370,0
2380,0
2390,400
2400,0
2410,100
2420,200
2430,100
2440,100
2450,200
2460,100
2470,200
2480,300
2490,100
2500,200
2510,200
2520,100
2530,298
2540,201
2550,0
2560,300
2570,100
2580,101
2590,201
2600,201
2610,200
2620,100
2630,201
2640,100
2650,200
2660,201
2670,200
2680,198
2690,201
2700,200
2710,101
2720,298
2730,201
2740,200
2750,100
2760,201
2770,101
2780,100
2790,100
2800,203
2810,200
2820,298
2830,100
2840,300
2850,201
2860,100
2870,200
2880,100
2890,100
2900,200
2910,200
2920,300
2930,100
2940,0
2950,0
2960,0
2970,0
2980,0
2990,0
3000,299
3010,200
3020,200
3030,200
3040,200
3050,200
3060,200
3070,100
3080,302
3090,98
3100,100
3110,0
3120,300
3130,300
3140,100
3150,300
3160,100
3170,100
